"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PJNXGRE4","journalArticle","2020","Hotz, Thomas; Glock, Matthias; Heyder, Stefan; Semper, Sebastian; Böhle, Anne; Krämer, Alexander","Monitoring the spread of COVID-19 by estimating reproduction numbers over time","arXiv:2004.08557 [q-bio, stat]","","","","http://arxiv.org/abs/2004.08557","To control the current outbreak of the Coronavirus Disease 2019, constant monitoring of the epidemic is required since, as of today, no vaccines or antiviral drugs against it are known. We provide daily updated estimates of the reproduction number over time at https://stochastik-tu-ilmenau.github.io/COVID-19/. In this document, we describe the estimator we are using which was developed in (Fraser 2007), derive its asymptotic properties, and we give details on its implementation. Furthermore, we validate the estimator on simulated data, demonstrate that estimates on real data lead to plausible results, and perform a sensitivity analysis. Finally, we discuss why the estimates obtained need to be interpreted with care.","2020-04-18","2020-07-20 07:45:31","2022-11-28 09:32:41","2020-07-20 07:45:31","","","","","","","","","","","","","","","","","arXiv","","arXiv.org","","00000  arXiv: 2004.08557","","/Users/stefan/Zotero/storage/Y7PD697F/2004.html; /Users/stefan/Zotero/storage/ZHQLRNQJ/2004.html; /Users/stefan/Nextcloud/Literatur/Hotz et al_2020_Monitoring the spread of COVID-19 by estimating reproduction numbers over time.pdf; /Users/stefan/Nextcloud/Literatur/Hotz2020Monitoring.pdf","","own_publication","G.3; Statistics - Methodology; Quantitative Biology - Populations and Evolution; 92C60 (Primary) 62P10, 62F12 (Secondary); J.3; Statistics - Applications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TD5L4LW9","journalArticle","2021","Bracher, J.; Wolffram, D.; Deuschel, J.; Görgen, K.; Ketterer, J. L.; Ullrich, A.; Abbott, S.; Barbarossa, M. V.; Bertsimas, D.; Bhatia, S.; Bodych, M.; Bosse, N. I.; Burgard, J. P.; Castro, L.; Fairchild, G.; Fuhrmann, J.; Funk, S.; Gogolewski, K.; Gu, Q.; Heyder, S.; Hotz, T.; Kheifetz, Y.; Kirsten, H.; Krueger, T.; Krymova, E.; Li, M. L.; Meinke, J. H.; Michaud, I. J.; Niedzielewski, K.; Ożański, T.; Rakowski, F.; Scholz, M.; Soni, S.; Srivastava, A.; Zieliński, J.; Zou, D.; Gneiting, T.; Schienle, M.","A pre-registered short-term forecasting study of COVID-19 in Germany and Poland during the second wave","Nature Communications","","2041-1723","10.1038/s41467-021-25207-0","https://www.nature.com/articles/s41467-021-25207-0","Disease modelling has had considerable policy impact during the ongoing COVID-19 pandemic, and it is increasingly acknowledged that combining multiple models can improve the reliability of outputs. Here we report insights from ten weeks of collaborative short-term forecasting of COVID-19 in Germany and Poland (12 October–19 December 2020). The study period covers the onset of the second wave in both countries, with tightening non-pharmaceutical interventions (NPIs) and subsequently a decay (Poland) or plateau and renewed increase (Germany) in reported cases. Thirteen independent teams provided probabilistic real-time forecasts of COVID-19 cases and deaths. These were reported for lead times of one to four weeks, with evaluation focused on one- and two-week horizons, which are less affected by changing NPIs. Heterogeneity between forecasts was considerable both in terms of point predictions and forecast spread. Ensemble forecasts showed good relative performance, in particular in terms of coverage, but did not clearly dominate single-model predictions. The study was preregistered and will be followed up in future phases of the pandemic.","2021-08-27","2021-09-30 12:26:36","2022-11-28 09:32:41","2021-09-30 12:26:36","5173","","1","12","","Nat Commun","","","","","","","","en","2021 The Author(s)","","","","www.nature.com","","Bandiera_abtest: a Cc_license_type: cc_by Cg_type: Nature Research Journals Number: 1 Primary_atype: Research Publisher: Nature Publishing Group Subject_term: Computational models;Epidemiology;SARS-CoV-2;Statistics Subject_term_id: computational-models;epidemiology;sars-cov-2;statistics","","/Users/stefan/Nextcloud/Literatur/Bracher et al_2021_A pre-registered short-term forecasting study of COVID-19 in Germany and Poland.pdf; /Users/stefan/Nextcloud/Literatur/Bracher2021A.pdf; /Users/stefan/Zotero/storage/4NW46ZYM/s41467-021-25207-0.html","","own_publication","SARS-CoV-2; Epidemiology; Statistics; Computational models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K42AT4XY","journalArticle","2021","Burgard, Jan Pablo; Heyder, Stefan; Hotz, Thomas; Krueger, Tyll","Regional estimates of reproduction numbers with application to COVID-19","arXiv:2108.13842 [stat] (accepted for publication)","","","","http://arxiv.org/abs/2108.13842","In the last year many public health decisions were based on real-time monitoring the spread of the ongoing COVID-19 pandemic. For this one often considers the reproduction number which measures the amount of secondary cases produced by a single infectious individual. While estimates of this quantity are readily available on the national level, subnational estimates, e.g. on the county level, pose more difficulties since only few incidences occur there. However, as countermeasures to the pandemic are usually enforced on the subnational level, such estimates are of great interest to assess the efficacy of the measures taken, and to guide future policy. We present a novel extension of the well established estimator of the country level reproduction number to the county level by applying techniques from small-area estimation. This new estimator yields sensible estimates of reproduction numbers both on the country and county level. It can handle low and highly variable case counts on the county level, and may be used to distinguish local outbreaks from more widespread ones. We demonstrate the capabilities of our novel estimator by a simulation study and by applying the estimator to German case data.","2021-08-31","2021-09-30 12:30:08","2022-11-28 09:32:41","2021-09-30 12:30:08","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/Users/stefan/Zotero/storage/CPB2DAX3/2108.html; /Users/stefan/Zotero/storage/MH57FPID/2108.html; /Users/stefan/Nextcloud/Literatur/Burgard et al_2021_Regional estimates of reproduction numbers with application to COVID-19.pdf; /Users/stefan/Nextcloud/Literatur/Burgard2021Regional.pdf","","own_publication","G.3; Statistics - Methodology; J.3; Statistics - Applications; 92C60 (Primary) 62P10 (Secondary)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GXG6AKRJ","journalArticle","2020","Miolane, Nina; Guigui, Nicolas; Brigant, Alice Le; Mathe, Johan; Hou, Benjamin; Thanwerdas, Yann; Heyder, Stefan; Peltre, Olivier; Koep, Niklas; Zaatiti, Hadi; Hajri, Hatem; Cabanes, Yann; Gerald, Thomas; Chauchat, Paul; Shewmake, Christian; Brooks, Daniel; Kainz, Bernhard; Donnat, Claire; Holmes, Susan; Pennec, Xavier","Geomstats: A Python Package for Riemannian Geometry in Machine Learning","Journal of Machine Learning Research","","1533-7928","","http://jmlr.org/papers/v21/19-027.html","We introduce Geomstats, an open-source Python package for computations and statistics on nonlinear manifolds such as hyperbolic spaces, spaces of symmetric positive definite matrices, Lie groups of transformations, and many more. We provide object-oriented and extensively unit-tested implementations. Manifolds come equipped with families of Riemannian metrics with associated exponential and logarithmic maps, geodesics, and parallel transport. Statistics and learning algorithms provide methods for estimation, clustering, and dimension reduction on manifolds. All associated operations are vectorized for batch computation and provide support for different execution backends---namely NumPy, PyTorch, and TensorFlow. This paper presents the package, compares it with related libraries, and provides relevant code examples. We show that Geomstats provides reliable building blocks to both foster research in differential geometry and statistics and democratize the use of Riemannian geometry in machine learning applications. The source code is freely available under the MIT license at geomstats.ai.","2020-11-01","2022-01-21 09:36:58","2024-08-12 16:39:40","2022-01-21 09:36:58","1-9","","223","21","","","Geomstats","","","","","","","","","","","","jmlr.org","","","","/Users/stefan/Nextcloud/Literatur/Miolane2020Geomstats.pdf; /Users/stefan/Zotero/storage/Y25XWM7F/geomstats.html","","own_publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPJJWGRT","journalArticle","2021","Grundel, Sara M.; Heyder, Stefan; Hotz, Thomas; Ritschel, Tobias K. S.; Sauerteig, Philipp; Worthmann, Karl","How to Coordinate Vaccination and Social Distancing to Mitigate SARS-CoV-2 Outbreaks","SIAM Journal on Applied Dynamical Systems","","","10.1137/20M1387687","https://epubs.siam.org/doi/abs/10.1137/20M1387687","Most countries have started vaccinating people against COVID-19. However, due to limited production capacities and logistical challenges it will take months/years until herd immunity is achieved. Therefore, vaccination and social distancing have to be coordinated. In this paper, we provide some insight on this topic using optimization-based control on an age-differentiated compartmental model. For real-life decision-making, we investigate the impact of the planning horizon on the optimal vaccination/social distancing strategy. We find that in order to reduce social distancing in the long run, without overburdening the health care system, it is essential to vaccinate the people with the highest contact rates first. That is also the case if the objective is to minimize fatalities provided that the social distancing measures are sufficiently strict. However, for short-term planning it is optimal to focus on the high-risk group.","2021-01-01","2022-01-21 09:37:05","2022-11-28 09:32:41","2022-01-21 09:37:05","1135-1157","","2","20","","SIAM J. Appl. Dyn. Syst.","","","","","","","","","","","","","epubs.siam.org (Atypon)","","Publisher: Society for Industrial and Applied Mathematics","","/Users/stefan/Nextcloud/Literatur/Grundel2021How to.pdf","","own_publication","37N25; 49N90; 93C10; 93C35; 93C95; epidemiological modeling; optimal control; social distancing; vaccination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRA4PJ62","journalArticle","2022","Bracher, Johannes; Wolffram, Daniel; Deuschel, Jannik; Görgen, Konstantin; Ketterer, Jakob L.; Ullrich, Alexander; Abbott, Sam; Barbarossa, Maria V.; Bertsimas, Dimitris; Bhatia, Sangeeta; Bodych, Marcin; Bosse, Nikos I.; Burgard, Jan Pablo; Castro, Lauren; Fairchild, Geoffrey; Fiedler, Jochen; Fuhrmann, Jan; Funk, Sebastian; Gambin, Anna; Gogolewski, Krzysztof; Heyder, Stefan; Hotz, Thomas; Kheifetz, Yuri; Kirsten, Holger; Krueger, Tyll; Krymova, Ekaterina; Leithäuser, Neele; Li, Michael L.; Meinke, Jan H.; Miasojedow, Błażej; Michaud, Isaac J.; Mohring, Jan; Nouvellet, Pierre; Nowosielski, Jedrzej M.; Ozanski, Tomasz; Radwan, Maciej; Rakowski, Franciszek; Scholz, Markus; Soni, Saksham; Srivastava, Ajitesh; Gneiting, Tilmann; Schienle, Melanie","National and subnational short-term forecasting of COVID-19 in Germany and Poland during early 2021","Communications Medicine","","2730-664X","10.1038/s43856-022-00191-8","https://www.nature.com/articles/s43856-022-00191-8","During the COVID-19 pandemic there has been a strong interest in forecasts of the short-term development of epidemiological indicators to inform decision makers. In this study we evaluate probabilistic real-time predictions of confirmed cases and deaths from COVID-19 in Germany and Poland for the period from January through April 2021.","2022-10-31","2022-11-16 13:34:18","2022-11-28 09:32:40","2022-11-16 13:34:18","1-17","","1","2","","Commun Med","","","","","","","","en","2022 The Author(s)","","","","www.nature.com","","Number: 1 Publisher: Nature Publishing Group","","/Users/stefan/Nextcloud/Literatur/Bracher2022National.pdf","","own_publication","Epidemiology; Viral infection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DQ8C5K8","journalArticle","2022","Grundel, Sara; Heyder, Stefan; Hotz, Thomas; Ritschel, Tobias K. S.; Sauerteig, Philipp; Worthmann, Karl","How Much Testing and Social Distancing is Required to Control COVID-19? Some Insight Based on an Age-Differentiated Compartmental Model","SIAM Journal on Control and Optimization","","0363-0129, 1095-7138","10.1137/20M1377783","https://epubs.siam.org/doi/10.1137/20M1377783","","2022-04-01","2022-01-21 09:37:23","2024-08-12 16:39:01","2022-11-16 14:03:32","S145-S169","","2","60","","SIAM J. Control Optim.","How Much Testing and Social Distancing is Required to Control COVID-19?","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/stefan/Nextcloud/Literatur/Grundel2022How.pdf; /Users/stefan/Nextcloud/Literatur/Grundel2022Howa.pdf","","own_publication","SARS-CoV-2; 93C10; 93C35; optimal control; 93A30; 93C15; compartmental modeling; decision support; model predictive control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICXLSFFJ","preprint","2022","Sherratt, K.; Gruson, H.; Grah, R.; Johnson, H.; Niehus, R.; Prasse, B.; Sandman, F.; Deuschel, J.; Wolffram, D.; Abbott, S.; Ullrich, A.; Gibson, G.; Ray, El.; Reich, Ng.; Sheldon, D.; Wang, Y.; Wattanachit, N.; Wang, L.; Trnka, J.; Obozinski, G.; Sun, T.; Thanou, D.; Pottier, L.; Krymova, E.; Barbarossa, Mv.; Leithäuser, N.; Mohring, J.; Schneider, J.; Wlazlo, J.; Fuhrmann, J.; Lange, B.; Rodiah, I.; Baccam, P.; Gurung, H.; Stage, S.; Suchoski, B.; Budzinski, J.; Walraven, R.; Villanueva, I.; Tucek, V.; Šmíd, M.; Zajícek, M.; Pérez Álvarez, C.; Reina, B.; Bosse, Ni.; Meakin, S.; Di Loro, P. Alaimo; Maruotti, A.; Eclerová, V.; Kraus, A.; Kraus, D.; Pribylova, L.; Dimitris, B.; Li, Ml.; Saksham, S.; Dehning, J.; Mohr, S.; Priesemann, V.; Redlarski, G.; Bejar, B.; Ardenghi, G.; Parolini, N.; Ziarelli, G.; Bock, W.; Heyder, S.; Hotz, T.; E. Singh, D.; Guzman-Merino, M.; Aznarte, Jl.; Moriña, D.; Alonso, S.; Álvarez, E.; López, D.; Prats, C.; Burgard, Jp.; Rodloff, A.; Zimmermann, T.; Kuhlmann, A.; Zibert, J.; Pennoni, F.; Divino, F.; Català, M.; Lovison, G.; Giudici, P.; Tarantino, B.; Bartolucci, F.; Jona Lasinio, G.; Mingione, M.; Farcomeni, A.; Srivastava, A.; Montero-Manso, P.; Adiga, A.; Hurt, B.; Lewis, B.; Marathe, M.; Porebski, P.; Venkatramanan, S.; Bartczuk, R.; Dreger, F.; Gambin, A.; Gogolewski, K.; Gruziel-Slomka, M.; Krupa, B.; Moszynski, A.; Niedzielewski, K.; Nowosielski, J.; Radwan, M.; Rakowski, F.; Semeniuk, M.; Szczurek, E.; Zielinski, J.; Kisielewski, J.; Pabjan, B.; Holger, K.; Kheifetz, Y.; Scholz, M.; Bodych, M.; Filinski, M.; Idzikowski, R.; Krueger, T.; Ozanski, T.; Bracher, J.; Funk, S.","Predictive performance of multi-model ensemble forecasts of COVID-19 across European nations","","","","10.1101/2022.06.16.22276024","http://medrxiv.org/lookup/doi/10.1101/2022.06.16.22276024","Abstract                        Background             Short-term forecasts of infectious disease burden can contribute to                         situational awareness and aid capacity planning. Based on best practice in                         other fields and recent insights in infectious disease epidemiology, one can                         maximise the predictive performance of such forecasts if multiple models are                         combined into an ensemble. Here we report on the performance of ensembles in                         predicting COVID-19 cases and deaths across Europe between 08 March 2021 and                         07 March 2022.                                   Methods             We used open-source tools to develop a public European COVID-19 Forecast                         Hub. We invited groups globally to contribute weekly forecasts for COVID-19                         cases and deaths reported from a standardised source over the next one to                         four weeks. Teams submitted forecasts from March 2021 using standardised                         quantiles of the predictive distribution. Each week we created an ensemble                         forecast, where each predictive quantile was calculated as the                         equally-weighted average (initially the mean and then from 26th July the                         median) of all individual models’ predictive quantiles. We measured the                         performance of each model using the relative Weighted Interval Score (WIS),                         comparing models’ forecast accuracy relative to all other models. We                         retrospectively explored alternative methods for ensemble forecasts,                         including weighted averages based on models’ past predictive                         performance.                                   Results             Over 52 weeks we collected and combined up to 28 forecast models for 32                         countries. We found a weekly ensemble had a consistently strong performance                         across countries over time. Across all horizons and locations, the ensemble                         performed better on relative WIS than 84% of participating models’ forecasts                         of incident cases (with a total N=862), and 92% of participating models’                         forecasts of deaths (N=746). Across a one to four week time horizon,                         ensemble performance declined with longer forecast periods when forecasting                         cases, but remained stable over four weeks for incident death forecasts. In                         every forecast across 32 countries, the ensemble outperformed most                         contributing models when forecasting either cases or deaths, frequently                         outperforming all of its individual component models. Among several choices                         of ensemble methods we found that the most influential and best choice was                         to use a median average of models instead of using the mean, regardless of                         methods of weighting component forecast models.                                   Conclusions             Our results support the use of combining forecasts from individual                         models into an ensemble in order to improve predictive performance across                         epidemiological targets and populations during infectious disease epidemics.                         Our findings further suggest that median ensemble methods yield better                         predictive performance more than ones based on means. Our findings also                         highlight that forecast consumers should place more weight on incident death                         forecasts than incident case forecasts at forecast horizons greater than two                         weeks.                                   Code and data availability             All data and code are publicly available on Github:                         covid19-forecast-hub-europe/euro-hub-ensemble.","2022-06-16","2022-11-24 12:29:45","2022-11-28 09:44:39","2022-11-28 09:40:03","","","","","","","","","","","","Epidemiology","medRxiv","en","","preprint","","","DOI.org (Crossref)","","","","/Users/stefan/Nextcloud/Literatur/Sherratt2022Predictivea.pdf; /Users/stefan/Zotero/storage/ZG6TQAZ2/2022.06.16.html","","own_publication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EPK4VJM","bookSection","2023","Heyder, Stefan; Hotz, Thomas","Measures of COVID-19 Spread","Covid-19 pandisziplinär und international: Gesundheitswissenschaftliche, gesellschaftspolitische und philosophische Hintergründe","978-3-658-40525-0","","","https://doi.org/10.1007/978-3-658-40525-0_3","Measuring the speed with which an epidemic like COVID-19 spreads is a necessity to coordinate and evaluate public health action. This speed is captured by indicators such as the reproduction number, the growth factor, the exponential growth rate, and the doubling time. While these indicators are theoretically equivalent they differ in several key aspects, namely their interpretation, how easily they allow to create forecasts, and in their use as tools to communicate with non-experts. To determine which circumstances call for what indicators we derive the renewal equation and the exponential growth model from first principles, and describe how to estimate the indicators from data. In order to interpret these estimates successfully one has to take the quality of the data as well as uncertainties due to estimation and, even more importantly, model misspecification into account. Finally, we evaluate the indicators as tools for communication, focusing on quantifying the impact of countermeasures, conveying the exponential growth of cases, and the ease of creating forecasts. We recommend to use the reproduction number for the first two tasks and the weekly growth factor, interpreted as compound interest, for forecasting. Furthermore we advocate to communicate exponential growth rates only to experts and discourage the use of doubling times altogether.","2023-10-04","2023-10-21 12:44:57","2024-08-12 15:28:57","2023-10-21 12:44:57","51-66","","","","","","","Medizin, Kultur, Gesellschaft","","","","Springer Fachmedien","Wiesbaden","de","","","","","Springer Link","","DOI: 10.1007/978-3-658-40525-0_3","","","","","/unread","Kraemer, Alexander; Medzech, Michael","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PD48RICD","journalArticle","2023","Brockhaus, Elisabeth K.; Wolffram, Daniel; Stadler, Tanja; Osthege, Michael; Mitra, Tanmay; Littek, Jonas M.; Krymova, Ekaterina; Klesen, Anna J.; Huisman, Jana S.; Heyder, Stefan; Helleckes, Laura M.; Heiden, Matthias an der; Funk, Sebastian; Abbott, Sam; Bracher, Johannes","Why are different estimates of the effective reproductive number so different? A case study on COVID-19 in Germany","PLOS Computational Biology","","1553-7358","10.1371/journal.pcbi.1011653","https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1011653","The effective reproductive number Rt has taken a central role in the scientific, political, and public discussion during the COVID-19 pandemic, with numerous real-time estimates of this quantity routinely published. Disagreement between estimates can be substantial and may lead to confusion among decision-makers and the general public. In this work, we compare different estimates of the national-level effective reproductive number of COVID-19 in Germany in 2020 and 2021. We consider the agreement between estimates from the same method but published at different time points (within-method agreement) as well as retrospective agreement across eight different approaches (between-method agreement). Concerning the former, estimates from some methods are very stable over time and hardly subject to revisions, while others display considerable fluctuations. To evaluate between-method agreement, we reproduce the estimates generated by different groups using a variety of statistical approaches, standardizing analytical choices to assess how they contribute to the observed disagreement. These analytical choices include the data source, data pre-processing, assumed generation time distribution, statistical tuning parameters, and various delay distributions. We find that in practice, these auxiliary choices in the estimation of Rt may affect results at least as strongly as the selection of the statistical approach. They should thus be communicated transparently along with the estimates.","2023-11-27","2024-01-04 14:55:35","2024-06-18 14:52:54","2024-06-18 09:54:36","e1011653","","11","19","","PLOS Computational Biology","Why are different estimates of the effective reproductive number so different?","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","","/Users/stefan/Nextcloud/Literatur/Brockhaus2023Why.pdf; /Users/stefan/Zotero/storage/BQCUTN73/Brockhaus2023Whya.pdf","","","Epidemiology; Pandemics; COVID 19; Virus testing; /add_tags; Programming languages; Public and occupational health; Random walk; Statistical data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
